id,rank,title,artist,chart_date,scraped_at
401,1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:28:36.707208
402,2,Ordinary,Alex Warren,2025-08-30,2025-08-30T14:28:36.710881
403,3,What I Want,Morgan Wallen Featuring Tate McRae,2025-08-30,2025-08-30T14:28:36.713473
404,4,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025-08-30,2025-08-30T14:28:36.716430
405,5,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025-08-30,2025-08-30T14:28:36.719303
406,6,Love Me Not,Ravyn Lenae,2025-08-30,2025-08-30T14:28:36.721863
407,7,Lose Control,Teddy Swims,2025-08-30,2025-08-30T14:28:36.725166
408,8,Daisies,Justin Bieber,2025-08-30,2025-08-30T14:28:36.762390
409,9,Just In Case,Morgan Wallen,2025-08-30,2025-08-30T14:28:36.785979
410,10,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:28:36.797441
411,11,Die With A Smile,Lady Gaga & Bruno Mars,2025-08-30,2025-08-30T14:28:36.805477
412,12,Good News,Shaboozey,2025-08-30,2025-08-30T14:28:36.814450
413,13,A Bar Song (Tipsy),Shaboozey,2025-08-30,2025-08-30T14:28:36.839159
414,14,Manchild,Sabrina Carpenter,2025-08-30,2025-08-30T14:28:36.848951
415,15,Mutt,Leon Thomas,2025-08-30,2025-08-30T14:28:36.858188
416,16,I'm The Problem,Morgan Wallen,2025-08-30,2025-08-30T14:28:36.870784
417,17,Beautiful Things,Benson Boone,2025-08-30,2025-08-30T14:28:36.879338
418,18,Pink Pony Club,Chappell Roan,2025-08-30,2025-08-30T14:28:36.887152
419,19,I Got Better,Morgan Wallen,2025-08-30,2025-08-30T14:28:36.896735
420,20,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:28:36.904746
421,21,Luther,Kendrick Lamar & SZA,2025-08-30,2025-08-30T14:28:36.907762
422,22,Birds Of A Feather,Billie Eilish,2025-08-30,2025-08-30T14:28:36.911409
423,23,Free,"Rumi, JINU, EJAE & Andrew Choi",2025-08-30,2025-08-30T14:28:36.914250
424,24,I Had Some Help,Post Malone Featuring Morgan Wallen,2025-08-30,2025-08-30T14:28:36.916946
425,25,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025-08-30,2025-08-30T14:28:36.919848
426,26,Sorry I'm Here For Someone Else,Benson Boone,2025-08-30,2025-08-30T14:28:36.922655
427,27,Undressed,sombr,2025-08-30,2025-08-30T14:28:36.925509
428,28,The Subway,Chappell Roan,2025-08-30,2025-08-30T14:28:36.929100
429,29,Yukon,Justin Bieber,2025-08-30,2025-08-30T14:28:36.931960
430,30,Mystical Magical,Benson Boone,2025-08-30,2025-08-30T14:28:36.934902
431,31,Back To Friends,sombr,2025-08-30,2025-08-30T14:28:36.937801
432,32,It Depends,Chris Brown Featuring Bryson Tiller,2025-08-30,2025-08-30T14:28:36.940829
433,33,All The Way,BigXthaPlug Featuring Bailey Zimmerman,2025-08-30,2025-08-30T14:28:36.945850
434,34,Backup Plan,Bailey Zimmerman & Luke Combs,2025-08-30,2025-08-30T14:28:36.949414
435,35,Folded,Kehlani,2025-08-30,2025-08-30T14:28:36.955626
436,36,Burning Blue,Mariah The Scientist,2025-08-30,2025-08-30T14:28:36.962271
437,37,Blue Strips,Jessie Murph,2025-08-30,2025-08-30T14:28:36.967229
438,38,30 For 30,SZA With Kendrick Lamar,2025-08-30,2025-08-30T14:28:36.971867
439,39,After All The Bars Are Closed,Thomas Rhett,2025-08-30,2025-08-30T14:28:36.975303
440,40,Happen To Me,Russell Dickerson,2025-08-30,2025-08-30T14:28:36.979703
441,41,Worst Way,Riley Green,2025-08-30,2025-08-30T14:28:36.982694
442,42,APT.,ROSE & Bruno Mars,2025-08-30,2025-08-30T14:28:36.985485
443,43,Bar None,Jordan Davis,2025-08-30,2025-08-30T14:28:36.988815
444,44,Love Somebody,Morgan Wallen,2025-08-30,2025-08-30T14:28:36.991770
445,45,What Did I Miss?,Drake,2025-08-30,2025-08-30T14:28:36.995820
446,46,Nokia,Drake,2025-08-30,2025-08-30T14:28:36.998864
447,47,Back In The Saddle,Luke Combs,2025-08-30,2025-08-30T14:28:37.001897
448,48,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish,2025-08-30,2025-08-30T14:28:37.004934
449,49,Sugar On My Tongue,"Tyler, The Creator",2025-08-30,2025-08-30T14:28:37.007927
450,50,No Broke Boys,Disco Lines & Tinashe,2025-08-30,2025-08-30T14:28:37.011906
451,51,6 Months Later,Megan Moroney,2025-08-30,2025-08-30T14:28:37.014920
452,52,Miami,Morgan Wallen Featuring Lil Wayne & Rick Ross,2025-08-30,2025-08-30T14:28:37.017665
453,53,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",2025-08-30,2025-08-30T14:28:37.020438
454,54,Somewhere Over Laredo,Lainey Wilson,2025-08-30,2025-08-30T14:28:37.023593
455,55,20 Cigarettes,Morgan Wallen,2025-08-30,2025-08-30T14:28:37.027417
456,56,House Again,Hudson Westbrook,2025-08-30,2025-08-30T14:28:37.030809
457,57,Strategy,TWICE,2025-08-30,2025-08-30T14:28:37.033858
458,58,Amen,Shaboozey & Jelly Roll,2025-08-30,2025-08-30T14:28:37.036477
459,59,Wildflower,Billie Eilish,2025-08-30,2025-08-30T14:28:37.039477
460,60,Outside,Cardi B,2025-08-30,2025-08-30T14:28:37.042600
461,61,Hell At Night,BigXthaPlug & Ella Langley,2025-08-30,2025-08-30T14:28:37.045833
462,62,Your Way's Better,Forrest Frank,2025-08-30,2025-08-30T14:28:37.049365
463,63,Just Keep Watching,Tate McRae,2025-08-30,2025-08-30T14:28:37.054537
464,64,So Far So Fake,Pierce The Veil,2025-08-30,2025-08-30T14:28:37.059051
465,65,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",2025-08-30,2025-08-30T14:28:37.063231
466,66,Eternity,Alex Warren,2025-08-30,2025-08-30T14:28:37.066290
467,67,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,2025-08-30,2025-08-30T14:28:37.069071
468,68,Better Me For You (Brown Eyes),Max McNown,2025-08-30,2025-08-30T14:28:37.071583
469,69,Marlboro Rojo,Fuerza Regida,2025-08-30,2025-08-30T14:28:37.074783
470,70,Imaginary Playerz,Cardi B,2025-08-30,2025-08-30T14:28:37.078730
471,71,Party 4 U,Charli xcx,2025-08-30,2025-08-30T14:28:37.081985
472,72,Gabriela,KATSEYE,2025-08-30,2025-08-30T14:28:37.085008
473,73,Which One,Drake & Central Cee,2025-08-30,2025-08-30T14:28:37.087602
474,74,Jump,BLACKPINK,2025-08-30,2025-08-30T14:28:37.090456
475,75,Superman,Morgan Wallen,2025-08-30,2025-08-30T14:28:37.093995
476,76,Rather Lie,Playboi Carti & The Weeknd,2025-08-30,2025-08-30T14:28:37.097416
477,77,Last One To Know,Gavin Adcock,2025-08-30,2025-08-30T14:28:37.100297
478,78,Don't Mind If I Do,Riley Green Featuring Ella Langley,2025-08-30,2025-08-30T14:28:37.103156
479,79,Revolving Door,Tate McRae,2025-08-30,2025-08-30T14:28:37.106408
480,80,Nice To Meet You,Myles Smith,2025-08-30,2025-08-30T14:28:37.110160
481,81,Sparks,Coldplay,2025-08-30,2025-08-30T14:28:37.113708
482,82,Went Legit,G Herbo,2025-08-30,2025-08-30T14:28:37.116828
483,83,Frecuencia,Dareyes de La Sierra,2025-08-30,2025-08-30T14:28:37.119418
484,84,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,2025-08-30,2025-08-30T14:28:37.122313
485,85,Ring Ring Ring,"Tyler, The Creator",2025-08-30,2025-08-30T14:28:37.125213
486,86,Heart Of Stone,Jelly Roll,2025-08-30,2025-08-30T14:28:37.129218
487,87,TN,Morgan Wallen,2025-08-30,2025-08-30T14:28:37.132201
488,88,Typa,GloRilla,2025-08-30,2025-08-30T14:28:37.135239
489,89,Just Say Dat,Gunna,2025-08-30,2025-08-30T14:28:37.138005
490,90,Cliche,mgk,2025-08-30,2025-08-30T14:28:37.140741
491,91,Let Down,Radiohead,2025-08-30,2025-08-30T14:28:37.144424
492,92,Tu Sancho,Fuerza Regida,2025-08-30,2025-08-30T14:28:37.147274
493,93,wgft,Gunna Featuring Burna Boy,2025-08-30,2025-08-30T14:28:37.149876
494,94,Bloodline,Alex Warren With Jelly Roll,2025-08-30,2025-08-30T14:28:37.152850
495,95,Is It A Crime,Mariah The Scientist & Kali Uchis,2025-08-30,2025-08-30T14:28:37.155938
496,96,Forever Be Mine,Gunna Featuring Wizkid,2025-08-30,2025-08-30T14:28:37.158875
497,97,Somebody,Latto,2025-08-30,2025-08-30T14:28:37.163681
498,98,What Kinda Man,Parker McCollum,2025-08-30,2025-08-30T14:28:37.166953
499,99,Country Song Came On,Luke Bryan,2025-08-30,2025-08-30T14:28:37.169680
500,100,Napoleon,$uicideboy$,2025-08-30,2025-08-30T14:28:37.172415
